game_id,name,platform_name,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
178123,Grand Theft Auto III: The Definitive Edition,PC (Microsoft Windows),4,NULL,NULL,NULL,50.2094,11
178123,Grand Theft Auto III: The Definitive Edition,PlayStation 4,4,NULL,NULL,NULL,50.2094,11
178123,Grand Theft Auto III: The Definitive Edition,Xbox One,4,NULL,NULL,NULL,50.2094,11
178123,Grand Theft Auto III: The Definitive Edition,Nintendo Switch,4,NULL,NULL,NULL,50.2094,11
178123,Grand Theft Auto III: The Definitive Edition,PlayStation 5,4,NULL,NULL,NULL,50.2094,11
6859,Organ Trail: Director's Cut,Linux,NULL,NULL,NULL,NULL,73.3350,11
6859,Organ Trail: Director's Cut,PC (Microsoft Windows),NULL,NULL,NULL,NULL,73.3350,11
6859,Organ Trail: Director's Cut,Mac,NULL,NULL,NULL,NULL,73.3350,11
6859,Organ Trail: Director's Cut,Android,NULL,NULL,NULL,NULL,73.3350,11
6859,Organ Trail: Director's Cut,iOS,NULL,NULL,NULL,NULL,73.3350,11
7571,Car Mechanic Simulator 2014,PC (Microsoft Windows),3,NULL,NULL,NULL,60.9291,17
7571,Car Mechanic Simulator 2014,Mac,3,NULL,NULL,NULL,60.9291,17
6059,Blood Bowl 2,PC (Microsoft Windows),9,2,68.5000,11,75.3886,17
6059,Blood Bowl 2,Mac,9,2,68.5000,11,75.3886,17
6059,Blood Bowl 2,PlayStation 4,9,2,68.5000,11,75.3886,17
6059,Blood Bowl 2,Xbox One,9,2,68.5000,11,75.3886,17
74859,Point Blank,PC (Microsoft Windows),4,NULL,NULL,NULL,68.8523,13
6522,Nancy Drew: Message in a Haunted Mansion,PC (Microsoft Windows),1,NULL,NULL,NULL,60.0094,11
20228,Sleeping Dogs: Definitive Edition,PC (Microsoft Windows),47,NULL,74.1667,6,82.2714,170
20228,Sleeping Dogs: Definitive Edition,Mac,47,NULL,74.1667,6,82.2714,170
20228,Sleeping Dogs: Definitive Edition,PlayStation 4,47,NULL,74.1667,6,82.2714,170
20228,Sleeping Dogs: Definitive Edition,Xbox One,47,NULL,74.1667,6,82.2714,170
4845,The LEGO Movie Videogame,PC (Microsoft Windows),16,1,63.5000,10,64.3908,49
4845,The LEGO Movie Videogame,PlayStation 4,16,1,63.5000,10,64.3908,49
4845,The LEGO Movie Videogame,Xbox One,16,1,63.5000,10,64.3908,49
12204,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad?,PC (Microsoft Windows),3,NULL,NULL,NULL,55.9020,14
535,WildStar,PC (Microsoft Windows),8,4,80.2000,12,73.3850,25
6815,Sherlock Holmes: The Awakened,PC (Microsoft Windows),4,NULL,61.6667,4,71.3900,17
135449,Crash Bandicoot,PC (Microsoft Windows),1,NULL,NULL,NULL,86.0618,17
135449,Crash Bandicoot,PlayStation 4,1,NULL,NULL,NULL,86.0618,17
135449,Crash Bandicoot,Xbox One,1,NULL,NULL,NULL,86.0618,17
135449,Crash Bandicoot,Nintendo Switch,1,NULL,NULL,NULL,86.0618,17
139858,Action Taimanin,PC (Microsoft Windows),14,NULL,NULL,NULL,74.8610,21
139858,Action Taimanin,Android,14,NULL,NULL,NULL,74.8610,21
139858,Action Taimanin,iOS,14,NULL,NULL,NULL,74.8610,21
3812,Ryse: Son of Rome,PC (Microsoft Windows),73,NULL,66.0000,13,70.9150,247
3812,Ryse: Son of Rome,Xbox One,73,NULL,66.0000,13,70.9150,247
8973,Football Manager 2012,PC (Microsoft Windows),11,NULL,84.0000,2,92.8863,40
8973,Football Manager 2012,Mac,11,NULL,84.0000,2,92.8863,40
5587,World of Warships,PC (Microsoft Windows),26,10,82.4000,5,69.6788,46
239064,Grand Theft Auto V,PlayStation 4,NULL,NULL,NULL,NULL,93.0813,27
239064,Grand Theft Auto V,Xbox One,NULL,NULL,NULL,NULL,93.0813,27
239064,Grand Theft Auto V,PlayStation 5,NULL,NULL,NULL,NULL,93.0813,27
